#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T02:07:28 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T02:07:28	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJS/271/19/table3&-order=I&-out=Gaia&-out=RAJ2000&-out=DEJ2000&-out=SNR-G&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=FeH&-out=e_FeH&-out=a/Fe&-out=e_a/Fe&-out=GMag&-out=e_GMag&-out=LFlame&-out=e_LFlame&-out=KIC&-out=Prot&-out=e_Prot&-out=Sph&-out=e_Sph&-out=S-index&-out=e_S-index&-out=SNR&-out=logRHK&-out=e_logRHK&-out=Mass&-out=e_Mass&-out=Age&-out=e_Age&-out=DR7&DR7=DR7&-out=Simbad&Simbad=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22710019
#Name: J/ApJS/271/19
#Title: FGK dwarfs from LAMOST DR7 and Gaia DR3 and Kepler (Ye+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/271/19	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/271/19	    IVOID of underlying data collection
#INFO	creator=Ye L.	    First author or institution
#INFO	cites=bibcode:2024ApJS..271...19Y	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/271/19	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22710019	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_271_19_table3:
#Name: J/ApJS/271/19/table3
#Title: Sample
#Column	Gaia	(I19)	Gaia DR3 identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-9.3/78] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SNR-G	(F6.2)	[50/748] Spectral S/N per pixel in SDSS g-band	[ucd=stat.snr]
#Column	Teff	(I4)	[5000/6499] Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I2)	[1/38] Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	[3.6/4.8] Log surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	[0/0.08] Uncertainty in logg	[ucd=stat.error]
#Column	FeH	(F5.2)	[-1/0.5] Log iron abundance relative to hydrogen	[ucd=phys.abund.Fe]
#Column	e_FeH	(F5.2)	[0/0.1] Uncertainty in FeH	[ucd=stat.error]
#Column	a/Fe	(F5.2)	[-0.07/0.33] Log Alpha element to iron abundance ratio	[ucd=phys.abund]
#Column	e_a/Fe	(F5.2)	[0/0.03] Uncertainty in a/Fe	[ucd=stat.error;phys.abund]
#Column	GMag	(F5.2)	[1.9/6.4] Absolute magnitude in Gaia G band	[ucd=phys.magAbs;em.opt]
#Column	e_GMag	(F5.2)	[0/0.8] Standard error of Gmag	[ucd=stat.error;phot.mag]
#Column	LFlame	(F7)	[0.25/11.7] Stellar luminosity with FLAME pipeline	[ucd=phys.luminosity]
#Column	e_LFlame	(F7)	[0.001/1.1] Standard error of LFlame	[ucd=stat.error]
#Column	KIC	(I8)	[1026838/12935035]? Kepler Input Catalog identifier	[ucd=meta.id.cross]
#Column	Prot	(F5.2)	[0.49/63]? Rotation Period	[ucd=time.period]
#Column	e_Prot	(F5.2)	[0.02/10.2]? Uncertainty in Prot	[ucd=stat.error]
#Column	Sph	(F7.1)	[0.2/12192]? Amplitude brightness variations	[ucd=src.var.amplitude]
#Column	e_Sph	(F6.1)	[1/1022]? Uncertainty in Sph	[ucd=stat.error]
#Column	S-index	(F6.3)	[0.13/0.4]? Weight average value of S_L_ index	[ucd=spect.index]
#Column	e_S-index	(F6.3)	[0.002/0.03]? Uncertainty in S-index	[ucd=stat.error]
#Column	SNR	(F6.2)	[100/748]? S-index S/N	[ucd=stat.snr]
#Column	logRHK	(F7.4)	[-8.3/-4.1]? Chromospheric activity index, logR_HK_^+^	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	[0.0025/0.06]? Uncertainty in logRHK	[ucd=stat.error]
#Column	Mass	(F5.2)	[0.7/1.4] Mass with grid-based modelling	[ucd=phys.mass]
#Column	e_Mass	(F5.2)	[0/0.2] Uncertainty in Mass	[ucd=stat.error;phys.mass]
#Column	Age	(F5.2)	[0.1/13.8] Age with grid-based modelling	[ucd=time.age]
#Column	e_Age	(F5.2)	[0.01/4.4] Uncertainty in Age	[ucd=stat.error;time.age]
#Column	DR7	(A3)	Display data from LAMOST DR7 LRS (V/156) within 2"	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Gaia;RAJ2000;DEJ2000;SNR-G;Teff;e_Teff;logg;e_logg;FeH;e_FeH;a/Fe;e_a/Fe;GMag;e_GMag;LFlame;e_LFlame;KIC;Prot;e_Prot;Sph;e_Sph;S-index;e_S-index;SNR;logRHK;e_logRHK;Mass;e_Mass;Age;e_Age;DR7;Simbad
 853496626911565312;158.80815;+55.29231;122.94;6178;12; 4.03; 0.03;-0.20; 0.03; 0.04; 0.02; 3.16; 0.05;  4e+00;  9e-02;        ;     ;     ;       ;      ; 0.169; 0.005;122.93;-5.0353; 0.0132; 1.28; 0.03; 3.45; 0.41;DR7;Simbad
3798111121123855360;170.14745;+00.43566;122.73;5690;11; 4.01; 0.03;-0.42; 0.03; 0.17; 0.02; 4.07; 0.04;  2e+00;  8e-02;        ;     ;     ;       ;      ; 0.175; 0.009;122.59;-4.9624; 0.0211; 0.90; 0.01;12.59; 0.38;DR7;Simbad
 817450336489883264;141.36524;+42.59432;179.82;5935; 7; 4.14; 0.02;-0.78; 0.02; 0.18; 0.01; 4.44; 0.04;  1e+00;  3e-02;        ;     ;     ;       ;      ; 0.214; 0.004;179.87;-4.5418; 0.0076; 0.82; 0.01;13.44; 0.31;DR7;Simbad
 636573496831879424;136.25481;+19.67668;110.26;6088;12; 4.17; 0.03;-0.62; 0.04; 0.16; 0.02; 3.61; 0.03;  3e+00;  7e-02;        ;     ;     ;       ;      ; 0.205; 0.006;110.17;-4.5979; 0.0125; 1.12; 0.03; 5.03; 0.52;DR7;Simbad
1012351519976076160;137.36896;+47.82230;123.94;6071;12; 4.06; 0.03;-0.34; 0.04; 0.07; 0.02; 3.42; 0.02;  3e+00;  6e-02;        ;     ;     ;       ;      ; 0.175; 0.006;124.29;-4.9477; 0.0142; 1.20; 0.03; 4.38; 0.43;DR7;Simbad
3886953825311606784;154.43896;+13.46138;140.56;5814;10; 4.09; 0.02; 0.04; 0.02; 0.03; 0.01; 3.74; 0.02;  2e+00;  5e-02;        ;     ;     ;       ;      ; 0.157; 0.005;140.13;-5.1992; 0.0143; 1.18; 0.01; 5.44; 0.17;DR7;Simbad
3844011677134203520;141.75421;+01.14545;223.40;6129; 6; 4.00; 0.01;-0.10; 0.02; 0.02; 0.01; 3.10; 0.07;  4e+00;  4e-02;        ;     ;     ;       ;      ; 0.173; 0.004;223.18;-4.9802; 0.0110; 1.32; 0.03; 3.28; 0.37;DR7;Simbad
3365650344398867968;102.11652;+19.39636;143.49;5816; 9; 4.20; 0.02; 0.17; 0.02;-0.01; 0.01; 3.96; 0.08;  2e+00;  6e-02;        ;     ;     ;       ;      ; 0.206; 0.005;145.31;-4.7133; 0.0104; 1.18; 0.03; 5.11; 0.46;DR7;Simbad
 674958959585816320;116.89957;+23.10181;128.13;6312;12; 4.15; 0.03;-0.38; 0.03; 0.07; 0.02; 3.55; 0.04;  3e+00;  1e-01;        ;     ;     ;       ;      ; 0.185; 0.006;128.13;-4.8516; 0.0144; 1.18; 0.01; 3.70; 0.20;DR7;Simbad
1009025639037944960;135.31886;+43.33829;130.24;6090;10; 3.98; 0.03;-0.72; 0.03; 0.16; 0.02; 3.74; 0.02;  2e+00;  5e-02;        ;     ;     ;       ;      ; 0.210; 0.005;130.05;-4.5666; 0.0093; 0.98; 0.01; 7.67; 0.19;DR7;Simbad
3866989649088576256;167.20741;+09.05306;115.58;5628;11; 4.17; 0.02;-0.20; 0.03; 0.14; 0.01; 4.06; 0.05;  2e+00;  3e-02;        ;     ;     ;       ;      ; 0.181; 0.007;115.54;-4.9098; 0.0170; 0.98; 0.01;10.62; 0.13;DR7;Simbad
2553109503420260736;013.86633;+05.77386;116.43;5795;12; 4.15; 0.03; 0.09; 0.03; 0.01; 0.01; 3.55; 0.11;  3e+00;  4e-02;        ;     ;     ;       ;      ; 0.163; 0.007;116.43;-5.1028; 0.0190; 1.20; 0.03; 5.25; 0.57;DR7;Simbad
 652960102737130624;126.18278;+16.28209;122.09;5796;12; 4.14; 0.03;-0.34; 0.03; 0.13; 0.02; 4.26; 0.04;  2e+00;  6e-02;        ;     ;     ;       ;      ; 0.177; 0.007;122.07;-4.9334; 0.0170; 0.92; 0.01;11.33; 0.54;DR7;Simbad
1548356124190431360;181.80188;+51.49745;109.47;6074;12; 3.95; 0.03;-0.54; 0.04; 0.10; 0.02; 3.68; 0.04;  3e+00;  5e-02;        ;     ;     ;       ;      ; 0.201; 0.005;109.38;-4.6232; 0.0116; 1.12; 0.01; 5.08; 0.09;DR7;Simbad
 610833070631429888;136.26003;+16.19955;140.52;5662; 9; 4.15; 0.02;-0.10; 0.02; 0.04; 0.01; 4.16; 0.02;  2e+00;  2e-02;        ;     ;     ;       ;      ; 0.175; 0.005;141.68;-4.9663; 0.0114; 0.98; 0.01;10.31; 0.12;DR7;Simbad
2127596819849382528;291.23552;+46.78552;220.53;6169; 6; 4.06; 0.02;-0.26; 0.02; 0.03; 0.01; 3.50; 0.02;  3e+00;  6e-02;        ;     ;     ;       ;      ; 0.191; 0.004;219.62;-4.8005; 0.0096; 1.16; 0.01; 4.32; 0.08;DR7;Simbad
 130340098384968960;041.68684;+31.15876;119.44;5828;11; 4.02; 0.02;-0.18; 0.03; 0.05; 0.01; 3.88; 0.03;  2e+00;  3e-02;        ;     ;     ;       ;      ; 0.157; 0.005;119.12;-5.2015; 0.0147; 1.12; 0.01; 6.33; 0.19;DR7;Simbad
3018081185418207360;091.42855;-07.69272;166.22;6245; 8; 4.00; 0.02;-0.41; 0.03; 0.10; 0.01; 3.14; 0.02;  4e+00;  5e-02;        ;     ;     ;       ;      ; 0.186; 0.005;166.40;-4.8408; 0.0113; 1.24; 0.01; 3.65; 0.09;DR7;Simbad
3096503543030998272;124.35290;+06.44959;128.85;5910;11; 4.11; 0.02;-0.01; 0.03; 0.02; 0.01; 3.86; 0.06;  2e+00;  6e-02;        ;     ;     ;       ;      ; 0.198; 0.006;128.89;-4.7609; 0.0140; 1.18; 0.02; 5.02; 0.45;DR7;Simbad
4019750503252104960;176.38471;+28.16294;145.50;5637; 9; 4.38; 0.02;-0.26; 0.02; 0.08; 0.01; 4.29; 0.02;  1e+00;  2e-02;        ;     ;     ;       ;      ; 0.199; 0.005;145.67;-4.7785; 0.0108; 0.92; 0.01;12.43; 0.15;DR7;Simbad
2580951233779604736;013.30561;+08.48829;106.61;6002;13; 4.10; 0.03; 0.09; 0.03;-0.01; 0.02; 3.47; 0.04;  3e+00;  1e-01;        ;     ;     ;       ;      ; 0.188; 0.007;106.61;-4.8227; 0.0156; 1.28; 0.04; 3.81; 0.64;DR7;Simbad
3726091700755161984;204.24338;+10.35169;116.62;5790;11; 4.24; 0.03;-0.58; 0.04; 0.23; 0.02; 4.24; 0.06;  2e+00;  7e-02;        ;     ;     ;       ;      ; 0.182; 0.007;116.62;-4.7774; 0.0170; 0.88; 0.01;12.46; 0.71;DR7;Simbad
1283740199784420224;217.05851;+28.48563;146.94;5849;10; 4.12; 0.02;-0.21; 0.03; 0.03; 0.02; 4.01; 0.17;  2e+00;  4e-02;        ;     ;     ;       ;      ; 0.163; 0.005;147.61;-5.1064; 0.0144; 1.04; 0.01; 7.67; 0.34;DR7;Simbad
2485066157615909248;022.27566;-02.27180;131.22;6071;11; 4.30; 0.03;-0.35; 0.03; 0.11; 0.01; 3.94; 0.12;  3e+00;  8e-02;        ;     ;     ;       ;      ; 0.180; 0.006;130.88;-4.8945; 0.0134; 1.12; 0.02; 5.17; 0.41;DR7;Simbad
 665712582192897664;127.08350;+21.72539;127.58;5962;10; 4.04; 0.03;-0.22; 0.03; 0.05; 0.01; 3.74; 0.05;  2e+00;  6e-02;        ;     ;     ;       ;      ; 0.181; 0.005;127.58;-4.8939; 0.0118; 1.10; 0.01; 5.66; 0.10;DR7;Simbad
3090644211208389632;122.84340;+01.76923;121.21;5820;11; 4.03; 0.02;-0.13; 0.03; 0.07; 0.01; 3.78; 0.03;  2e+00;  3e-02;        ;     ;     ;       ;      ; 0.195; 0.006;121.17;-4.7886; 0.0137; 1.16; 0.01; 5.84; 0.17;DR7;Simbad
3661060948091407232;211.92241;+01.21133;122.42;5779;10; 4.07; 0.03;-0.53; 0.03; 0.23; 0.01; 4.07; 0.04;  2e+00;  4e-02;        ;     ;     ;       ;      ; 0.180; 0.006;123.32;-4.8034; 0.0154; 0.94; 0.01;10.44; 0.32;DR7;Simbad
4013901857306725504;181.76323;+29.56008;105.16;5651;12; 4.15; 0.03;-0.30; 0.03; 0.16; 0.01; 3.84; 0.04;  2e+00;  7e-02;        ;     ;     ;       ;      ; 0.251; 0.008;104.86;-4.5287; 0.0128; 1.00; 0.02; 9.81; 0.58;DR7;Simbad
 233969133725325312;063.30779;+46.72606;121.20;6026;11; 4.00; 0.02;-0.03; 0.03; 0.02; 0.02; 3.20; 0.02;  4e+00;  7e-02;        ;     ;     ;       ;      ; 0.174; 0.006;121.20;-4.9642; 0.0157; 1.32; 0.04; 3.58; 0.43;DR7;Simbad
 774837599420037120;163.53679;+37.07220;233.03;6342; 6; 3.98; 0.02;-0.40; 0.02; 0.10; 0.01; 3.05; 0.30;  4e+00;  1e-01;        ;     ;     ;       ;      ; 0.197; 0.004;233.58;-4.7516; 0.0095; 1.26; 0.04; 3.21; 0.44;DR7;Simbad
3741548016743723136;204.95118;+14.35167;198.03;6170; 7; 4.04; 0.02;-0.35; 0.02; 0.08; 0.01; 3.45; 0.02;  3e+00;  5e-02;        ;     ;     ;       ;      ; 0.177; 0.005;197.18;-4.9297; 0.0114; 1.16; 0.01; 4.26; 0.10;DR7;Simbad
1280120401347801344;220.84430;+28.21716;131.66;5839;10; 4.11; 0.02;-0.03; 0.03; 0.02; 0.01; 3.87; 0.05;  2e+00;  5e-02;        ;     ;     ;       ;      ; 0.177; 0.006;131.43;-4.9330; 0.0140; 1.14; 0.01; 5.87; 0.22;DR7;Simbad
2720679469244455552;331.77354;+06.59189;130.44;5757;11; 4.13; 0.02;-0.12; 0.03; 0.04; 0.02; 4.02; 0.03;  2e+00;  4e-02;        ;     ;     ;       ;      ; 0.162; 0.005;130.72;-5.1087; 0.0144; 1.02; 0.01; 8.69; 0.38;DR7;Simbad
3686143694539032576;196.37190;-00.70801;103.57;5791;12; 4.17; 0.03; 0.24; 0.03; 0.04; 0.01; 3.94; 0.04;  2e+00;  8e-02;        ;     ;     ;       ;      ; 0.186; 0.009;103.57;-4.8515; 0.0202; 1.20; 0.01; 5.03; 0.21;DR7;Simbad
 725443173413024640;153.96375;+23.33464;122.35;5900;12; 4.13; 0.03;-0.33; 0.03; 0.07; 0.02; 4.11; 0.07;  2e+00;  7e-02;        ;     ;     ;       ;      ; 0.190; 0.006;122.39;-4.8177; 0.0140; 0.98; 0.01; 8.76; 0.38;DR7;Simbad
3715573600725253120;199.37098;+03.18248;249.05;5864; 5; 4.08; 0.01;-0.37; 0.02; 0.08; 0.01; 3.84; 0.02;  2e+00;  8e-02;        ;     ;     ;       ;      ; 0.183; 0.004;248.96;-4.8728; 0.0086; 0.94; 0.01;10.22; 0.18;DR7;Simbad
4457581118675797888;241.26369;+11.55021;104.00;5739;13; 4.10; 0.03; 0.03; 0.03; 0.01; 0.02; 3.54; 0.09;  3e+00;  4e-02;        ;     ;     ;       ;      ; 0.162; 0.007;103.91;-5.1196; 0.0196; 1.24; 0.03; 4.93; 0.50;DR7;Simbad
1206188548005327872;240.11497;+22.21582;157.72;5777; 8; 4.19; 0.02; 0.15; 0.02; 0.02; 0.01; 3.57; 0.01;  3e+00;  3e-02;        ;     ;     ;       ;      ; 0.165; 0.005;157.63;-5.0796; 0.0133; 1.24; 0.03; 4.92; 0.55;DR7;Simbad
 978223473619975168;106.36247;+48.20824;101.28;6025;13; 4.08; 0.04;-0.61; 0.04; 0.18; 0.02; 4.13; 0.04;  2e+00;  8e-02;        ;     ;     ;       ;      ; 0.220; 0.005;102.59;-4.5072; 0.0106; 0.94; 0.01; 8.95; 0.56;DR7;Simbad
1889334402453295104;342.88697;+30.54572;113.61;5887;12; 4.27; 0.03;-0.10; 0.03; 0.03; 0.01; 4.22; 0.04;  2e+00;  6e-02;        ;     ;     ;       ;      ; 0.168; 0.006;113.42;-5.0318; 0.0148; 1.02; 0.01; 7.41; 0.40;DR7;Simbad
1228753829437722880;214.57887;+14.69585;133.12;5835;10; 4.00; 0.02; 0.01; 0.02;-0.01; 0.01; 3.36; 0.06;  3e+00;  5e-02;        ;     ;     ;       ;      ; 0.183; 0.006;133.27;-4.8793; 0.0141; 1.20; 0.03; 5.20; 0.49;DR7;Simbad
1876134181245344640;339.25679;+23.51694;207.84;5884; 6; 4.10; 0.02;-0.37; 0.02; 0.09; 0.01; 4.06; 0.04;  2e+00;  2e-02;        ;     ;     ;       ;      ; 0.180; 0.004;206.61;-4.9023; 0.0090; 0.96; 0.01; 9.35; 0.35;DR7;Simbad
 659898983179989632;132.43029;+17.95879;120.76;6077;11; 4.12; 0.03;-0.56; 0.04; 0.13; 0.02; 4.08; 0.06;  2e+00;  1e-01;        ;     ;     ;       ;      ; 0.182; 0.005;120.76;-4.7945; 0.0116; 0.94; 0.01; 8.57; 0.46;DR7;Simbad
 650139305656703744;122.05851;+12.43913;137.42;5923;10; 4.16; 0.02; 0.02; 0.02; 0.02; 0.01; 3.61; 0.10;  2e+00;  8e-02;        ;     ;     ;       ;      ; 0.167; 0.006;136.08;-5.0525; 0.0143; 1.18; 0.02; 4.89; 0.54;DR7;Simbad
 804380274274473472;155.13684;+41.24988;124.18;5661;11; 4.08; 0.02;-0.18; 0.03; 0.11; 0.01; 4.35; 0.08;  2e+00;  1e-01;        ;     ;     ;       ;      ; 0.174; 0.007;124.08;-4.9795; 0.0178; 0.96; 0.01;10.98; 0.48;DR7;Simbad
2720639852466788736;332.24129;+06.52171;147.32;5992;10; 4.11; 0.02;-0.34; 0.03; 0.08; 0.02; 3.78; 0.03;  2e+00;  7e-02;        ;     ;     ;       ;      ; 0.180; 0.005;147.12;-4.8974; 0.0116; 1.02; 0.01; 7.42; 0.23;DR7;Simbad
 843473650712384000;167.74286;+54.25008;145.31;5999;10; 4.06; 0.02;-0.32; 0.03; 0.09; 0.02; 3.54; 0.07;  3e+00;  5e-02;        ;     ;     ;       ;      ; 0.165; 0.005;146.46;-5.0733; 0.0128; 1.20; 0.01; 4.46; 0.09;DR7;Simbad
3876416518187736704;155.81651;+10.15500;135.61;5707;10; 4.10; 0.02;-0.23; 0.03; 0.12; 0.01; 4.12; 0.02;  2e+00;  3e-02;        ;     ;     ;       ;      ; 0.157; 0.005;135.61;-5.1869; 0.0142; 0.98; 0.01; 9.99; 0.06;DR7;Simbad
 351567198011339264;032.77421;+42.77916;198.31;6063; 6; 4.13; 0.01; 0.08; 0.02; 0.00; 0.01; 3.30; 0.18;  4e+00;  7e-02;        ;     ;     ;       ;      ; 0.178; 0.004;197.79;-4.9178; 0.0098; 1.34; 0.04; 3.33; 0.51;DR7;Simbad
 607110708375103488;137.19788;+14.70550;240.38;6141; 6; 4.00; 0.01;-0.29; 0.02; 0.06; 0.01; 3.40; 0.02;  3e+00;  6e-02;        ;     ;     ;       ;      ; 0.185; 0.004;241.04;-4.8486; 0.0098; 1.20; 0.02; 4.18; 0.40;DR7;Simbad
2078940200510167424;297.21455;+44.29689;129.17;6160;11; 4.14; 0.03;-0.17; 0.03; 0.02; 0.02; 2.89; 0.02;  5e+00;  7e-02;        ;     ;     ;       ;      ; 0.179; 0.006;129.54;-4.9107; 0.0133; 1.34; 0.01; 3.16; 0.10;DR7;Simbad
1184658843318841472;222.56280;+13.03708;102.84;5713;14; 4.03; 0.03; 0.12; 0.03; 0.03; 0.01; 3.80; 0.03;  2e+00;  4e-02;        ;     ;     ;       ;      ; 0.184; 0.008;102.69;-4.8769; 0.0186; 1.18; 0.02; 5.78; 0.54;DR7;Simbad
3150425964081746944;119.02869;+10.62731;441.76;6292; 3; 4.33; 0.01;-0.17; 0.01; 0.04; 0.01; 3.92; 0.01;  2e+00;  2e-02;        ;     ;     ;       ;      ; 0.222; 0.003;441.70;-4.5933; 0.0065; 1.12; 0.01; 2.68; 0.13;DR7;Simbad
 709153148438060416;126.09515;+31.72061;234.06;5993; 6; 4.12; 0.02;-0.49; 0.02; 0.10; 0.01; 3.85; 0.02;  2e+00;  2e-02;        ;     ;     ;       ;      ; 0.170; 0.005;234.06;-5.0060; 0.0115; 0.98; 0.01; 8.14; 0.05;DR7;Simbad
 610687110462914432;135.05537;+16.10037;130.28;5694;10; 4.17; 0.02; 0.06; 0.03; 0.02; 0.01; 4.27; 0.05;  2e+00;  6e-02;        ;     ;     ;       ;      ; 0.172; 0.005;130.28;-4.9985; 0.0132; 1.02; 0.01; 8.72; 0.48;DR7;Simbad
3902809160941155200;188.23529;+08.56973;103.32;5863;14; 4.23; 0.03;-0.21; 0.04; 0.04; 0.02; 4.55; 0.07;  1e+00;  1e-01;        ;     ;     ;       ;      ; 0.187; 0.006;103.17;-4.8418; 0.0147; 0.96; 0.01; 9.01; 0.69;DR7;Simbad
 982396532564001408;116.85338;+50.46010;156.91;6334;10; 3.87; 0.03;-0.33; 0.03; 0.13; 0.02; 2.69; 0.11;  5e+00;  1e-01;        ;     ;     ;       ;      ; 0.182; 0.005;156.35;-4.8825; 0.0111; 1.36; 0.04; 2.75; 0.33;DR7;Simbad
 753541674097703424;152.61702;+35.55009;119.67;5820;11; 4.21; 0.03;-0.55; 0.04; 0.14; 0.02; 4.19; 0.02;  2e+00;  3e-02;        ;     ;     ;       ;      ; 0.195; 0.006;120.02;-4.6689; 0.0130; 0.90; 0.01;11.83; 0.28;DR7;Simbad
 805445735396935936;153.33028;+41.99229;148.08;6196; 9; 4.00; 0.02;-0.46; 0.03; 0.10; 0.01; 3.38; 0.02;  3e+00;  7e-02;        ;     ;     ;       ;      ; 0.203; 0.005;148.13;-4.7072; 0.0101; 1.16; 0.01; 4.38; 0.13;DR7;Simbad
4010015873976744192;185.46729;+28.16108;105.83;5905;13; 4.13; 0.03;-0.36; 0.04; 0.10; 0.02; 4.32; 0.06;  1e+00;  8e-02;        ;     ;     ;       ;      ; 0.211; 0.006;106.37;-4.6800; 0.0122; 0.94; 0.01; 9.07; 0.65;DR7;Simbad
3870267224531203200;158.82870;+10.52617;109.91;6216;13; 4.06; 0.03;-0.48; 0.04; 0.10; 0.02; 3.17; 0.03;  4e+00;  1e-01;        ;     ;     ;       ;      ; 0.183; 0.006;109.91;-4.8741; 0.0149; 1.24; 0.03; 3.70; 0.36;DR7;Simbad
  98314039083983360;025.84154;+21.89967;102.55;5969;13; 3.73; 0.04;-0.68; 0.04; 0.08; 0.02; 3.62; 0.03;  3e+00;  7e-02;        ;     ;     ;       ;      ; 0.185; 0.008;102.52;-4.7527; 0.0182; 1.00; 0.01; 7.52; 0.19;DR7;Simbad
 605494185764084736;134.53921;+13.11800;158.35;6202; 9; 3.93; 0.02;-0.25; 0.03; 0.07; 0.02; 2.96; 0.04;  5e+00;  8e-02;        ;     ;     ;       ;      ; 0.171; 0.005;158.35;-5.0033; 0.0123; 1.32; 0.01; 3.17; 0.06;DR7;Simbad
1742600521276683392;323.86982;+11.16216;206.24;5867; 7; 4.24; 0.02;-0.36; 0.02; 0.08; 0.01; 4.41; 0.04;  1e+00;  4e-02;        ;     ;     ;       ;      ; 0.183; 0.004;206.24;-4.8773; 0.0093; 0.92; 0.01; 9.69; 0.41;DR7;Simbad
3725134060487032192;206.12492;+09.02701;154.55;5716; 8; 4.10; 0.02;-0.46; 0.03; 0.21; 0.01; 4.19; 0.05;  2e+00;  7e-02;        ;     ;     ;       ;      ; 0.177; 0.005;154.55;-4.9398; 0.0126; 0.88; 0.01;13.16; 0.48;DR7;Simbad
 793984529267776000;145.34630;+32.80028;129.83;6264;11; 4.02; 0.03;-0.46; 0.03; 0.10; 0.02; 3.17; 0.11;  4e+00;  9e-02;        ;     ;     ;       ;      ; 0.197; 0.005;129.98;-4.7546; 0.0107; 1.20; 0.03; 3.94; 0.43;DR7;Simbad
1458834746449949568;208.39038;+34.22389;163.03;5875; 8; 4.12; 0.02;-0.01; 0.02; 0.02; 0.01; 3.79; 0.04;  2e+00;  3e-02;        ;     ;     ;       ;      ; 0.170; 0.004;164.49;-5.0138; 0.0111; 1.16; 0.01; 5.44; 0.21;DR7;Simbad
3812819391247842560;171.25845;+04.31479;119.36;6045;11; 4.18; 0.03;-0.50; 0.04; 0.12; 0.02; 3.86; 0.04;  2e+00;  1e-01;        ;     ;     ;       ;      ; 0.172; 0.006;119.32;-4.9060; 0.0143; 0.96; 0.01; 8.28; 0.60;DR7;Simbad
1359822899733816448;255.31723;+46.33326;108.33;6103;13; 4.02; 0.03;-0.41; 0.04; 0.10; 0.02; 3.53; 0.09;  3e+00;  8e-02;        ;     ;     ;       ;      ; 0.219; 0.005;108.47;-4.6220; 0.0108; 1.18; 0.02; 4.46; 0.42;DR7;Simbad
3379772403025731584;100.07123;+23.47126;179.01;6207; 8; 3.95; 0.02;-0.50; 0.02; 0.10; 0.01; 3.31; 0.02;  4e+00;  6e-02;        ;     ;     ;       ;      ; 0.212; 0.004;179.09;-4.6528; 0.0083; 1.18; 0.01; 4.13; 0.05;DR7;Simbad
 657485864395963392;123.49337;+19.06212;107.35;6026;12; 4.06; 0.03;-0.66; 0.04; 0.16; 0.02; 3.84; 0.03;  2e+00;  7e-02;        ;     ;     ;       ;      ; 0.188; 0.006;107.35;-4.7297; 0.0137; 0.98; 0.02; 8.02; 0.53;DR7;Simbad
4410525113384540032;236.32030;+00.00842;126.10;6202;11; 3.89; 0.03;-0.24; 0.03; 0.06; 0.02; 3.07; 0.04;  5e+00;  1e-01;        ;     ;     ;       ;      ; 0.218; 0.006;125.88;-4.6204; 0.0111; 1.36; 0.01; 2.99; 0.11;DR7;Simbad
2877005940833810048;001.17866;+35.72967;291.46;6432; 5; 3.96; 0.01;-0.47; 0.02; 0.11; 0.01; 2.89; 0.02;  5e+00;  7e-02;        ;     ;     ;       ;      ; 0.241; 0.004;292.34;-4.5007; 0.0071; 1.30; 0.03; 2.87; 0.33;DR7;Simbad
