#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-23T23:05:56 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-23T23:05:57	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/132/161/table2&-order=I&-out=Name&-out=HIP&-out=n_HIP&-out=HD/DM&-out=SpType&-out=n_SpType&-out=Teff&-out=log(g)&-out=VTurb&-out=[M/H]&-out.all=2&-out=Note&-out=Fit&-out=SMW&-out=logR&-out=AC&-out=n_AC&-out=Obs&-out=t5&-out=SimbadName&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51320161
#Name: J/AJ/132/161
#Title: NStars project: The southern sample. I. (Gray+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/aj/132/161	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/132/161	    IVOID of underlying data collection
#INFO	creator=Gray R.O.	    First author or institution
#INFO	cites=bibcode:2006AJ....132..161G	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/132/161	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51320161	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-11-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_132_161_table2:
#Name: J/AJ/132/161/table2
#Title: Spectral types, basic physical parameters and chromospheric indices
#Column	Name	(A10)	Star name	[ucd=meta.id;meta.main]
#Column	HIP	(I6)	? Hipparcos catalog designation	[ucd=meta.id]
#Column	n_HIP	(A1)	[*] For HIP 117815, 2 HD designations	[ucd=meta.note]
#Column	HD/DM	(a8)	The HD or DM designation	[ucd=meta.id]
#Column	SpType	(a22)	MK Spectral type	[ucd=src.spType]
#Column	n_SpType	(A1)	[*] Note on the spectral type in notes.dat file	[ucd=meta.note]
#Column	Teff	(I5)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	? Log of the surface gravity	[ucd=phys.gravity]
#Column	VTurb	(F4.1)	? Microturbulent velocity	[ucd=phys.veloc]
#Column	[M/H]	(F5.2)	? Overall metal abundance (2)	[ucd=phys.abund.Z]
#Column	Note	(A1)	[*] indicates a note detailed in notes.dat file	[ucd=meta.note]
#Column	Fit	(A1)	[K] Remark on the fitting process (3)	[ucd=meta.note]
#Column	SMW	(F6.3)	? Mt. Wilson system chromospheric activity index	[ucd=phot.flux;arith.ratio]
#Column	logR	(F7.3)	? Ca II K & H line chromospheric flux measure	[ucd=phot.flux;arith.ratio]
#Column	AC	(A2)	Chromospheric activity class (4)	[ucd=src.class]
#Column	n_AC	(A1)	[*] Note on the chromospheric activity in notes.dat file	[ucd=meta.note]
#Column	Obs	(a7)	Spectrum source (5)	[ucd=meta.id;instr.tel]
#Column	t5	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name;HIP;n_HIP;HD/DM;SpType;n_SpType;Teff;log(g);VTurb;[M/H];Note;Fit;SMW;logR;AC;n_AC;Obs;t5;SimbadName;_RA;_DE
HIP  27080; 27080; ;39194   ;K0 V                  ; ; 5326; 4.60; 1.0;-0.41; ; ; 0.146; -5.107;VI; ;CTIO   ; ;HIP  27080       ;086.13299;-70.14357
HIP  27244; 27244; ;38973   ;G0 V                  ; ; 5997; 4.34; 1.0; 0.02; ; ; 0.165; -4.935;I ; ;CTIO   ;S;HIP  27244       ;086.61663;-53.21932
HIP  27288; 27288; ;38678   ;A2 IV-V(n)            ; ; 8337; 4.03; 2.0;-0.76;*; ;      ;       ;  ; ;SO     ; ;HIP  27288       ;086.73892;-14.82195
HIP  27321; 27321; ;39060   ;A6 V                  ; ; 8052; 4.15; 2.0; 0.05; ; ;      ;       ;  ; ;CTIO   ; ;HIP  27321       ;086.82120;-51.06651
HIP  27397; 27397; ;        ;K9 V (k)              ; ;     ;     ;    ;     ; ; ; 1.368; -4.764;I ; ;SO     ; ;HIP  27397       ;087.07141;-11.13462
HIP  27628; 27628; ;39425   ;K1 III CN+1           ; ; 4545; 2.62; 1.0; 0.11; ;K; 0.154;       ;  ; ;SO     ; ;HIP  27628       ;087.73997;-35.76831
HIP  27654; 27654; ;39364   ;K1 IV Fe-0.5          ; ; 4717; 2.71; 1.0;-0.71; ;K; 0.147;       ;  ; ;SO     ; ;HIP  27654       ;087.83040;-20.87909
HIP  27887; 27887; ;40307   ;K2.5 V                ; ; 4775; 4.66; 1.0;-0.43; ; ; 0.181; -5.037;I ; ;CTIO   ; ;HIP  27887       ;088.51767;-60.02347
HIP  27890; 27890; ;40409   ;K2 III                ; ; 4661; 2.92; 1.0;-0.08; ;K;      ;       ;  ; ;CTIO   ; ;HIP  27890       ;088.52523;-63.08978
HIP  27896; 27896; ;40105   ;K1 IV-V               ; ; 4979; 3.79; 1.0;-0.06; ; ; 0.127; -5.229;VI; ;CTIO   ; ;HIP  27896       ;088.54506;-50.36255
HIP  27913; 27913; ;39587   ;G0 V CH-0.3           ; ; 5951; 4.46; 1.0; 0.00; ; ; 0.325; -4.426;A ; ;CTIO   ; ;HIP  27913       ;088.59576;+20.27617
HIP  27922; 27922; ;39855   ;G8 V Fe-0.7           ; ; 5510; 4.63; 1.0;-0.42; ; ; 0.175; -4.932;I ; ;SO     ; ;HIP  27922       ;088.62565;-19.70435
HIP  27947; 27947; ;40292   ;F1 V                  ; ; 7165; 3.79; 2.9;-0.23; ; ;      ;       ;  ; ;CTIO   ; ;HIP  27947       ;088.70872;-52.63548
HIP  28035; 28035; ;        ;M2.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP  28035       ;088.93006;-26.85650
HIP  28103; 28103; ;40136   ;F2 V                  ; ; 7069; 4.01; 2.0;-0.01;*; ;      ;       ;  ; ;SO     ; ;HIP  28103       ;089.10122;-14.16770
HIP  28319; 28319; ;        ;M2 V                  ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP  28319       ;089.74825;-07.66721
HIP  28442; 28442; ;40887   ;K6.5 V                ; ;     ;     ;    ;     ; ; ; 0.388; -4.932;I ; ;CTIO   ; ;HIP  28442       ;090.08135;-31.02878
HIP  28754; 28754; ;        ;M2.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  28754       ;091.08483;-55.31301
HIP  28764; 28764; ;41700   ;F9 V Fe-0.4           ; ; 6241; 4.40; 1.0;-0.05; ; ; 0.351; -4.339;A ; ;CTIO   ; ;HIP  28764       ;091.11850;-45.03660
HIP  28790; 28790; ;41742A  ;F5.5 V                ; ; 6446; 4.12; 2.3;-0.19; ; ; 0.336;       ;  ; ;CTIO   ; ;HIP  28790       ;091.16709;-45.07893
HIP  28790; 28790; ;41742B  ;K4.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.928;       ;  ; ;CTIO   ; ;HIP  28790       ;091.16709;-45.07893
HIP  28796; 28796; ;41824   ;G7 Vp k CH-1          ; ; 5440; 4.12; 1.0;-0.16; ; ; 0.634; -4.153;VA;*;CTIO   ; ;HIP  28796       ;091.19451;-48.45830
HIP  28898; 28898; ;42286   ;K1 V                  ; ; 5029; 4.61; 1.0;-0.39; ; ; 0.166; -5.025;I ; ;CTIO   ; ;HIP  28898       ;091.51469;-59.54321
HIP  28921; 28921; ;41842   ;K2+ V (k)             ; ; 4983; 4.62; 1.0;-0.04; ; ; 0.456; -4.484;A ; ;SO     ; ;HIP  28921       ;091.56923;-27.90583
HIP  28964; 28964; ;42505   ;K4 V (k)              ; ;     ;     ;    ;     ; ; ; 0.788; -4.571;A ; ;CTIO   ; ;HIP  28964       ;091.68265;-62.68261
HIP  29063; 29063; ;41853   ;K2 V                  ; ; 4943; 4.56; 1.0;-0.37; ; ; 0.158; -5.071;I ; ;CTIO   ; ;HIP  29063       ;091.96791;+08.21952
HIP  29096; 29096; ;        ;K7.5 V                ; ;     ;     ;    ;     ; ; ; 1.853; -4.662;A ; ;SO     ; ;HIP  29096       ;092.06036;-28.99467
HIP  29271; 29271; ;43834   ;G7 V                  ; ; 5500; 4.42; 1.0;-0.07; ; ; 0.175; -4.940;I ; ;CTIO   ; ;HIP  29271       ;092.56031;-74.75305
HIP  29322; 29322; ;        ;M1 V                  ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  29322       ;092.74949;-65.20578
HIP  29374; 29374; ;42931   ;K2.5 V (k)            ; ; 4851; 4.57; 1.0;-0.22; ; ; 0.312; -4.752;I ; ;CTIO   ; ;HIP  29374       ;092.87560;-41.57860
HIP  29568; 29568; ;43162   ;G6.5 V                ; ; 5571; 4.49; 1.0;-0.03; ; ; 0.343; -4.480;A ; ;SO     ; ;HIP  29568       ;093.43873;-23.86194
HIP  29673; 29673; ;44447   ;G0 V Fe-0.8 CH-0.3    ; ; 5996; 4.28; 1.0;-0.29; ; ; 0.170; -4.888;I ; ;CTIO   ; ;HIP  29673       ;093.77508;-71.70276
HIP  29788; 29788; ;44120   ;F9.5 V                ; ; 5996; 4.15; 1.0; 0.00; ; ; 0.149; -5.044;I ; ;CTIO   ; ;HIP  29788       ;094.07828;-59.21350
HIP  29804; 29804; ;43848   ;K2 IV                 ;*;     ;     ;    ;     ; ; ; 0.165; -5.081;I ; ;CTIO   ; ;HIP  29804       ;094.13065;-40.53188
HIP  29843; 29843; ;43745   ;F8.5 V                ; ; 5998; 3.52; 1.0;-0.02; ; ; 0.151; -5.021;I ; ;SO     ; ;HIP  29843       ;094.26499;-22.71523
HIP  29860; 29860; ;43587   ;G0 V                  ; ; 5861; 4.29; 1.0;-0.09; ; ; 0.183; -4.847;I ; ;CTIO   ; ;HIP  29860       ;094.31721;+05.09998
HIP  29964; 29964; ;45081   ;K3.5 V ke             ; ;     ;     ;    ;     ; ; ; 2.952; -3.755;VA;*;CTIO   ; ;HIP  29964       ;094.61754;-72.04485
HIP  30045; 30045; ;44310   ;K1 IV-V               ; ; 5219; 4.42; 1.0; 0.13; ; ; 0.149; -5.105;VI; ;CTIO   ; ;HIP  30045       ;094.82854;-37.46290
HIP  30104; 30104; ;44594   ;G1.5 V                ; ; 5777; 4.39; 1.0; 0.02; ; ; 0.157; -5.019;I ; ;CTIO   ;S;HIP  30104       ;095.02556;-48.74109
HIP  30225; 30225; ;44573   ;K2.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.391; -4.617;A ; ;SO     ; ;HIP  30225       ;095.38803;-22.21475
HIP  30256; 30256; ;        ;M1 V k                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP  30256       ;095.47420;-22.72335
HIP  30314; 30314; ;45270   ;G0 Vp CH-0.3          ; ; 5897; 4.44; 1.0;-0.07;*; ; 0.361; -4.378;A ; ;CTIO   ; ;HIP  30314       ;095.62892;-60.21865
HIP  30362; 30362; ;256294  ;B9 III                ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP  30362       ;095.78869;+08.90743
HIP  30476; 30476; ;45289   ;G2 V                  ;*; 5747; 4.31; 1.0; 0.06; ; ; 0.154; -5.041;I ; ;CTIO   ;S;HIP  30476       ;096.10146;-42.84752
HIP  30480; 30480; ;45701   ;G1 V                  ; ; 5750; 4.17; 1.0; 0.00; ; ; 0.158; -5.010;I ; ;CTIO   ; ;HIP  30480       ;096.11084;-63.42901
HIP  30503; 30503; ;45184   ;G1.5 V                ; ; 5841; 4.39; 1.0; 0.01; ; ; 0.172; -4.921;I ; ;SO     ;S;HIP  30503       ;096.18283;-28.78012
HIP  30545; 30545; ;45067   ;F9 V                  ; ; 6009; 4.09; 1.0;-0.20; ; ; 0.163; -4.927;I ; ;CTIO   ; ;HIP  30545       ;096.31894;-00.94588
HIP  30579; 30579; ;45364   ;G8 V                  ; ; 5451; 4.53; 1.0;-0.05; ; ; 0.153; -5.061;I ; ;CTIO   ; ;HIP  30579       ;096.41031;-31.48095
HIP  30711; 30711; ;45588   ;F8 IV                 ; ; 6079; 3.92; 1.0;-0.09; ; ; 0.164; -4.917;I ; ;SO     ; ;HIP  30711       ;096.79735;-25.85650
HIP  30888; 30888; ;        ;K7- V (k)             ; ;     ;     ;    ;     ; ; ; 1.170; -4.771;I ; ;CTIO   ; ;HIP  30888       ;097.25586;-45.36641
HIP  30979; 30979; ;45977   ;K4+ V (k)             ; ;     ;     ;    ;     ; ; ; 0.707; -4.635;A ; ;SO     ; ;HIP  30979       ;097.53043;-11.80894
HIP  31079; 31079; ;46569   ;F8 V Fe-0.4           ; ; 6251; 3.69; 2.6;-0.13; ; ; 0.146; -5.027;I ; ;CTIO   ; ;HIP  31079       ;097.82638;-51.82596
HIP  31126; 31126; ;A       ;M0 V (k)              ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  31126       ;097.96298;-43.53404
HIP  31126; 31126; ;B       ;M2.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  31126       ;097.96298;-43.53404
HIP  31134; 31134; ;47252   ;K0.5 V                ; ; 5279; 4.59; 1.0;-0.23; ; ; 0.160; -5.034;I ; ;CTIO   ; ;HIP  31134       ;097.98639;-68.70986
HIP  31292; 31292; ;        ;M3.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  31292       ;098.44485;-75.62497
HIP  31293; 31293; ;        ;M2.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  31293       ;098.43032;-75.62999
HIP  31540; 31540; ;47186   ;G6 V                  ; ; 5499; 4.34; 1.0; 0.02; ; ; 0.172; -4.953;I ; ;SO     ; ;HIP  31540       ;099.03662;-27.62230
HIP  31547; 31547; ;47283   ;G1 V                  ; ; 5770; 4.28; 1.0;-0.19; ; ; 0.214; -4.727;A ; ;SO     ; ;HIP  31547       ;099.05237;-36.13845
HIP  31555; 31555; ;        ;K8 V k                ; ;     ;     ;    ;     ; ; ; 1.918; -4.731;A ; ;CTIO   ; ;HIP  31555       ;099.07617;-40.00656
HIP  31592; 31592; ;47205   ;K1 III                ; ; 4799; 3.05; 1.0; 0.18; ;K; 0.132;       ;  ; ;SO     ; ;HIP  31592       ;099.17099;-19.25588
HIP  31623; 31623; ;47391   ;G7 V                  ; ; 5497; 4.38; 1.0;-0.48; ; ; 0.182; -4.899;I ; ;SO     ; ;HIP  31623       ;099.26659;-32.22519
HIP  31634; 31634; ;        ;K8 V (k)              ; ;     ;     ;    ;     ; ; ; 2.080; -4.696;A ; ;CTIO   ; ;HIP  31634       ;099.29677;-50.03826
HIP  31655; 31655; ;47157   ;G5 IV-V               ; ; 5747; 4.30; 1.0; 0.28; ; ; 0.161; -5.012;I ; ;CTIO   ; ;HIP  31655       ;099.38248;+09.14428
HIP  31692; 31692; ;48611   ;G9.5 V                ; ; 5336; 4.51; 1.0;-0.25; ; ; 0.168; -4.981;I ; ;CTIO   ; ;HIP  31692       ;099.46072;-70.93261
HIP  31711; 31711; ;48189   ;G1 V CH-0.5           ; ; 5821; 4.35; 1.0;-0.11;*; ; 0.444; -4.268;A ; ;CTIO   ; ;HIP  31711       ;099.50152;-61.53339
HIP  31862; 31862; ;        ;M0 V (k)              ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  31862       ;099.90685;-55.60968
HIP  32043; 32043; ;        ;K4+ V (k)             ; ;     ;     ;    ;     ; ; ; 0.897; -4.313;A ; ;CTIO/SO; ;HIP  32043       ;100.41537;-35.55370
HIP  32076; 32076; ;48286   ;F9 V Fe-0.5 CH-0.4    ; ; 5998; 4.47; 1.0;-0.45; ; ; 0.193; -4.770;I ; ;SO     ; ;HIP  32076       ;100.52168;-15.21525
HIP  32322; 32322; ;48938   ;G0 V Fe-0.8 CH-0.5    ; ; 6159; 4.33; 1.0;-0.18; ; ; 0.180; -4.825;I ; ;SO     ; ;HIP  32322       ;101.21647;-27.34167
HIP  32366; 32366; ;49095   ;F6.5 V                ; ; 6322; 4.36; 2.0;-0.20; ; ; 0.190; -4.745;A ; ;SO     ; ;HIP  32366       ;101.34559;-31.79365
HIP  32500; 32500; ;58805   ;F5.5 V Fe-1.0 CH-0.6  ; ; 6556; 4.23; 1.9;-0.36; ; ; 0.328; -4.330;A ; ;CTIO   ; ;HIP  32500       ;101.74407;-87.02496
HIP  32544; 32544; ;        ;K6.5 V (k)            ; ;     ;     ;    ;     ; ; ; 1.000; -4.792;I ; ;CTIO   ; ;HIP  32544       ;101.86650;-40.51587
HIP  32607; 32607; ;50241   ;A8 Vn kA6             ; ; 7536; 3.42; 1.8;-0.11; ; ;      ;       ;  ; ;CTIO   ; ;HIP  32607       ;102.04773;-61.94139
HIP  32765; 32765; ;50223   ;F5.5 V                ; ; 6482; 4.01; 2.0;-0.17; ; ; 0.205; -4.661;A ; ;CTIO   ; ;HIP  32765       ;102.47757;-46.61456
HIP  32775; 32775; ;50571   ;F5 V Fe+0.4           ; ; 6534; 4.18; 2.1;-0.05; ; ; 0.239; -4.551;A ; ;CTIO   ; ;HIP  32775       ;102.50423;-60.24914
HIP  32971; 32971; ;50255   ;G4.5 V                ; ; 5575; 4.38; 1.0;-0.04; ; ; 0.268; -4.636;A ; ;SO     ; ;HIP  32971       ;103.00994;-11.20451
HIP  33037; 33037; ;50590   ;K3 V                  ; ;     ;     ;    ;     ; ; ; 0.204; -5.011;I ; ;SO     ; ;HIP  33037       ;103.24850;-23.10770
HIP  33094; 33094; ;50806   ;G5 V                  ; ; 5604; 4.11; 1.0; 0.06; ; ; 0.146; -5.103;VI; ;SO     ; ;HIP  33094       ;103.39143;-28.53979
HIP  33109; 33109; ;50639   ;F8.5 V                ; ; 6080; 4.09; 1.0;-0.08; ; ; 0.177; -4.854;  ; ;CTIO/SO; ;HIP  33109       ;103.43678;-09.51546
HIP  33229; 33229; ;51608   ;K0 IV-V               ; ; 5375; 4.41; 1.0; 0.01; ; ; 0.141; -5.144;VI; ;CTIO   ; ;HIP  33229       ;103.71392;-55.25933
HIP  33302; 33302; ;51199   ;F1.5 V                ; ; 6790; 3.65; 2.0;-0.18; ; ;      ;       ;  ; ;SO     ; ;HIP  33302       ;103.90596;-20.13649
HIP  33324; 33324; ;51929   ;G2 V Fe-1.4 CH-0.7    ; ; 5915; 4.35; 1.0;-0.65; ; ; 0.179; -4.852;I ; ;CTIO   ; ;HIP  33324       ;103.97175;-56.94240
HIP  33478; 33478; ;51733   ;F2 V                  ; ; 6813; 3.75; 2.0;-0.25; ; ;      ;       ;  ; ;SO     ; ;HIP  33478       ;104.39130;-24.63083
HIP  33495; 33495; ;52298   ;F8 V Fe-1 CH-0.5      ; ; 6323; 4.28; 2.0;-0.38; ; ; 0.214; -4.641;A ; ;CTIO   ; ;HIP  33495       ;104.43934;-52.64847
HIP  33560; 33560; ;51849   ;K5- V k               ; ;     ;     ;    ;     ; ; ; 1.280; -4.441;A ; ;SO     ; ;HIP  33560       ;104.60853;-12.99186
HIP  33690; 33690; ;53143   ;K0 IV-V (k)           ; ; 5326; 4.40; 1.0; 0.13; ; ; 0.344; -4.547;A ; ;CTIO   ; ;HIP  33690       ;104.99856;-61.33618
HIP  33691; 33691; ;52491   ;G9 V                  ; ; 5434; 4.46; 1.0;-0.06; ; ; 0.217; -4.790;I ; ;CTIO   ; ;HIP  33691       ;105.01145;-31.22808
HIP  33705; 33705; ;52516   ;F5.5 V Fe-0.7 CH-0.4  ; ; 6503; 4.33; 2.0;-0.21; ; ; 0.214; -4.614;A ; ;SO     ; ;HIP  33705       ;105.04072;-31.14169
HIP  33736; 33736; ;52756   ;K2 IV                 ; ; 5002; 4.43; 1.0; 0.15; ; ; 0.171; -5.037;I ; ;CTIO   ; ;HIP  33736       ;105.12332;-41.37981
HIP  33817; 33817; ;52698   ;K1 V (k)              ; ;     ;     ;    ;     ; ; ; 0.316; -4.680;A ; ;SO     ; ;HIP  33817       ;105.30719;-25.94874
HIP  34052; 34052; ;53680   ;K6 V                  ; ;     ;     ;    ;     ; ; ; 0.455; -4.925;I ; ;CTIO   ; ;HIP  34052       ;105.95922;-43.56150
HIP  34065; 34065; ;53705   ;G0 V                  ; ; 5775; 4.28; 1.0;-0.38; ; ; 0.163; -4.981;I ; ;CTIO   ; ;HIP  34065       ;105.98881;-43.60803
HIP  34069; 34069; ;53706   ;K0.5 V                ; ; 5272; 4.55; 1.0;-0.25; ; ; 0.157; -5.049;I ; ;CTIO   ; ;HIP  34069       ;105.99551;-43.61135
HIP  34423; 34423; ;54359   ;K3- V                 ; ;     ;     ;    ;     ; ; ; 0.293; -4.795;I ; ;SO     ; ;HIP  34423       ;107.03878;-09.96870
HIP  34739; 34739; ;55720   ;G8 V                  ; ; 5496; 4.49; 1.0;-0.36; ; ; 0.175; -4.932;I ; ;CTIO   ; ;HIP  34739       ;107.88195;-49.42420
HIP  34834; 34834; ;55892   ;F3 V Fe-1.0           ; ; 6907; 3.78; 2.0;-0.41; ; ;      ;       ;  ; ;CTIO   ; ;HIP  34834       ;108.14010;-46.75930
HIP  34879; 34879; ;55693   ;G1.5 V                ; ; 5753; 4.28; 1.0; 0.06; ; ; 0.168; -4.951;I ; ;SO     ;S;HIP  34879       ;108.26114;-24.22557
HIP  34890; 34890; ;56533   ;K6 V (k)              ; ;     ;     ;    ;     ; ; ; 1.097; -4.656;A ; ;CTIO   ; ;HIP  34890       ;108.27954;-63.34495
HIP  35091; 35091; ;58160   ;K2 V                  ; ;     ;     ;    ;     ; ; ; 0.239; -4.888;I ; ;CTIO   ; ;HIP  35091       ;108.85215;-77.02950
HIP  35096; 35096; ;56662   ;G0 V                  ; ; 5887; 4.45; 1.0;-0.26; ; ; 0.179; -4.864;I ; ;CTIO   ; ;HIP  35096       ;108.87130;-48.23001
HIP  35139; 35139; ;56274   ;G7 V Fe-1.5 CH-1.3    ; ; 5799; 4.57; 1.0;-0.61; ; ; 0.202; -4.768;I ; ;SO     ; ;HIP  35139       ;108.96165;-13.04948
HIP  35246; 35246; ;        ;K5.5 V (k)            ; ;     ;     ;    ;     ; ; ; 1.062; -4.313;A ; ;CTIO   ; ;HIP  35246       ;109.24639;-59.12272
HIP  35296; 35296; ;57095   ;K2.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.530; -4.538;A ; ;CTIO   ; ;HIP  35296       ;109.37317;-46.97924
HIP  35564; 35564; ;57852   ;F5 V                  ; ; 6603; 4.05; 1.9;-0.15; ; ; 0.354; -4.313;A ; ;CTIO   ; ;HIP  35564       ;110.08927;-52.31152
HIP  35564; 35564; ;57853   ;F9 V                  ; ;     ;     ;    ;     ; ; ; 0.333;       ;  ; ;CTIO   ; ;HIP  35564       ;110.08927;-52.31152
HIP  35651; 35651; ;57568   ;K4- V (k)             ; ;     ;     ;    ;     ; ; ; 0.415; -4.749;A ; ;SO     ; ;HIP  35651       ;110.34452;-12.63724
HIP  35739; 35739; ;58111   ;K2 V                  ; ; 4999; 4.46; 1.0;-0.11; ; ; 0.175; -5.012;I ; ;CTIO   ; ;HIP  35739       ;110.57858;-39.25333
HIP  35851; 35851; ;        ;K5 V                  ; ;     ;     ;    ;     ; ; ; 0.843; -4.738;A ; ;SO     ; ;HIP  35851       ;110.87189;-20.02340
HIP  35884; 35884; ;58192   ;F6- V                 ; ; 6287; 3.95; 2.0;-0.41; ; ; 0.263; -4.503;A ; ;SO     ; ;HIP  35884       ;110.97424;-17.41343
HIP  35902; 35902; ;58489   ;K3.5 V                ; ; 4578; 4.56; 1.0;-0.11; ; ; 0.197; -5.135;VI; ;CTIO   ; ;HIP  35902       ;111.01920;-40.04607
HIP  35998; 35998; ;58461   ;F5 V Fe-0.8 CH-0.5    ; ; 6609; 3.98; 2.0;-0.30; ; ; 0.290; -4.404;A ; ;SO     ; ;HIP  35998       ;111.28465;-13.75198
HIP  36102; 36102; ;        ;M1- V                 ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO/SO; ;HIP  36102       ;111.55579;-33.94117
HIP  36121; 36121; ;58760   ;K4+ V                 ; ;     ;     ;    ;     ; ; ; 0.593; -4.777;I ; ;SO     ; ;HIP  36121       ;111.61069;-15.77033
HIP  36160; 36160; ;59100   ;G1.5 V                ; ; 5761; 4.60; 1.0;-0.27; ; ; 0.162; -4.977;I ; ;CTIO/SO; ;HIP  36160       ;111.74014;-34.31552
HIP  36165; 36165; ;59099   ;F6 V                  ; ; 6367; 3.97; 1.5;-0.16; ; ; 0.200; -4.701;A ; ;CTIO/SO; ;HIP  36165       ;111.74444;-34.31212
HIP  36210; 36210; ;59468   ;G6.5 V                ; ; 5517; 4.42; 1.0;-0.17; ; ; 0.171; -4.946;I ; ;CTIO   ; ;HIP  36210       ;111.85610;-51.40260
HIP  36338; 36338; ;        ;M3- V                 ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP  36338       ;112.18933;-03.29814
HIP  36352; 36352; ;        ;K6.5 V (k)            ; ;     ;     ;    ;     ; ; ; 1.540; -4.620;A ; ;CTIO   ; ;HIP  36352       ;112.22421;-58.26338
HIP  36395; 36395; ;59438   ;F8 V Fe-1.3 CH-0.8    ; ; 6262; 3.76; 2.0;-0.62; ; ; 0.240; -4.559;A ; ;SO     ; ;HIP  36395       ;112.34110;-14.99866
HIP  36399; 36399; ;59380   ;F6 V                  ; ; 6365; 4.13; 2.0;-0.27; ; ; 0.214; -4.647;A ; ;CTIO   ; ;HIP  36399       ;112.35692;-07.55124
HIP  36512; 36512; ;59711   ;G2 V                  ; ; 5747; 4.46; 1.0;-0.05; ; ; 0.173; -4.916;I ; ;SO     ;S;HIP  36512       ;112.66672;-15.99458
HIP  36515; 36515; ;59967   ;G2 V                  ; ; 5768; 4.49; 1.0;-0.14; ; ; 0.378; -4.372;A ; ;SO     ; ;HIP  36515       ;112.67713;-37.33936
HIP  36640; 36640; ;59984   ;G0 V Fe-1.6 CH-0.5    ; ; 5998; 4.08; 1.0;-0.70; ; ; 0.218; -4.663;A ; ;CTIO   ; ;HIP  36640       ;113.02401;-08.88133
HIP  36795; 36795; ;60532   ;F6 IV-V               ; ; 6262; 3.83; 2.0;-0.05; ; ; 0.168; -4.864;I ; ;SO     ; ;HIP  36795       ;113.51325;-22.29607
HIP  36817; 36817; ;60584   ;F5 V                  ; ;     ;     ;    ;     ; ; ; 0.268; -4.478;A ; ;SO     ; ;HIP  36817       ;113.57757;-23.47366
HIP  36817; 36817; ;60585   ;F5- V                 ; ;     ;     ;    ;     ; ; ; 0.250;       ;  ; ;SO     ; ;HIP  36817       ;113.57757;-23.47366
HIP  36832; 36832; ;61033   ;G8 V (k)              ; ; 5471; 4.42; 1.0;-0.11; ; ; 0.409; -4.391;A ; ;CTIO   ; ;HIP  36832       ;113.61681;-52.96816
