#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T01:44:54 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T01:44:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/646/A77/catalog&-order=I&-out=Star&-out=Nobs&-out=Nnights&-out=Tspan&-out=snr-med&-out=DateStart&-out=DateEnd&-out=Vmag&-out=e_Vmag&-out=r_Vmag&-out.all=2&-out=B-V&-out=e_B-V&-out=r_B-V&-out=plx&-out=e_plx&-out=r_plx&-out=d&-out=Nplt&-out=SpType&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out.all=2&-out=[Fe/H]&-out=e_[Fe/H]&-out=r_Teff&-out=Mass&-out=e_Mass&-out=Radius&-out=e_Radius&-out=Age&-out=e_Age&-out=SMWmed&-out=SMWwmean&-out=e_SMW&-out=s_SMW&-out.all=2&-out=logRHKmed&-out=logRHKwmean&-out=e_logRHK&-out=R5med&-out=R5wmean&-out=e_R5&-out=s_R5&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36460077
#Name: J/A+A/646/A77
#Title: Chromospheric activity from AMBRE-HARPS (Gomes da Silva+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	creator=Gomes da Silva J.	    First author or institution
#INFO	cites=bibcode:2021A&A...646A..77G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/646/A77	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36460077	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_646_A77_catalog:
#Name: J/A+A/646/A77/catalog
#Title: Catalogue data
#Column	Star	(a23)	Stellar main identification in SIMBAD	[ucd=meta.id;meta.main]
#Column	Nobs	(I5)	Total number of observations	[ucd=meta.number]
#Column	Nnights	(I3)	Total number of nights	[ucd=meta.number]
#Column	Tspan	(I4)	Timespan of observations	[ucd=time.interval]
#Column	snr-med	(I3)	Median signal-to-noise ratio	[ucd=em.wl.central;stat.median]
#Column	DateStart	(A23)	Date of start of observations	[ucd=time.epoch]
#Column	DateEnd	(A23)	Date of end of observations	[ucd=time.epoch]
#Column	Vmag	(F6.3)	? Apparent V-band magnitude (dereddened)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Apparent V-band magnitude uncertainty	[ucd=stat.error;phot.mag]
#Column	r_Vmag	(A19)	Apparent V-band magnitude reference	[ucd=meta.ref;pos.frame]
#Column	B-V	(F6.3)	? B-V colour (dereddened)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? B-V colour uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	r_B-V	(A19)	B-V colour reference	[ucd=meta.ref;phot.color;em.opt.B]
#Column	plx	(F7.3)	? Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Parallax uncertainty	[ucd=stat.error;pos.parallax]
#Column	r_plx	(A19)	Parallax reference	[ucd=meta.ref;pos.frame]
#Column	d	(F7.2)	? Geometric distance	[ucd=pos.distance]
#Column	Nplt	(I1)	? Number of planets in system (as of 2019-12-12)	[ucd=meta.number]
#Column	SpType	(A2)	Spectral type	[ucd=src.spType]
#Column	Teff	(I4)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.1)	? Effective temperature uncertainty	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	? Logarithm of surface gravity uncertainty	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Metallicity uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	r_Teff	(a19)	Reference for teff, logg, and feh	[ucd=meta.ref;pos.frame]
#Column	Mass	(F6.3)	? Mass	[ucd=phys.mass]
#Column	e_Mass	(F6.3)	? Mass uncertainty	[ucd=stat.error;phys.mass]
#Column	Radius	(F6.3)	? Radius	[ucd=phys.angSize;src]
#Column	e_Radius	(F6.3)	? Radius uncertainty	[ucd=stat.error;phys.size.radius]
#Column	Age	(F6.3)	? Age	[ucd=time.age]
#Column	e_Age	(F6.3)	? Age uncertainty	[ucd=stat.error;time.age]
#Column	SMWmed	(F7.4)	Median S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	SMWwmean	(F7.4)	Weighted mean S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	e_SMW	(F7.4)	Uncertainty of S-index in Mt. Wilson scale	[ucd=stat.error]
#Column	s_SMW	(F7.4)	Weighted standard deviation of S-index in Mt. Wilson scale	[ucd=stat.stdev;phys.atmol.wOscStrength]
#Column	logRHKmed	(F7.4)	? Median log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	logRHKwmean	(F7.4)	? Weighted mean log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	? Uncertanty on log R'_HK_ index	[ucd=stat.error]
#Column	R5med	(F6.3)	? Median R_5_ index (R_5_ = R'_HK_ x 10^5)	[ucd=phot.flux;arith.ratio]
#Column	R5wmean	(F6.3)	? Weighted mean R_5_ index	[ucd=phot.flux;arith.ratio]
#Column	e_R5	(F6.3)	? Uncertainty on R_5_ index	[ucd=stat.error]
#Column	s_R5	(F6.3)	? Weighted standard deviation of R_5_ index	[ucd=spect.index]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star;Nobs;Nnights;Tspan;snr-med;DateStart;DateEnd;Vmag;e_Vmag;r_Vmag;B-V;e_B-V;r_B-V;plx;e_plx;r_plx;d;Nplt;SpType;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];r_Teff;Mass;e_Mass;Radius;e_Radius;Age;e_Age;SMWmed;SMWwmean;e_SMW;s_SMW;logRHKmed;logRHKwmean;e_logRHK;R5med;R5wmean;e_R5;s_R5;Simbad;_RA;_DE
HD 192117              ;    2;  2; 747; 81;2004-07-17T05:23:05.728;2006-08-03T06:07:47.971; 8.394; 0.010;1997A&A...323L..49P; 0.734; 0.003;2007A&A...474..653V; 25.135; 0.031;2018A&A...616A...1G;  39.79;0;G8;5479; 35.0; 4.45; 0.06;-0.04; 0.03;2008A&A...487..373S; 0.904; 0.028; 0.863; 0.017; 4.419; 3.060; 0.2717; 0.2718; 0.0013; 0.0003;-4.6625;-4.6624; 0.0030; 2.175; 2.176; 0.015; 0.003;Simbad;305.10076;-75.57788
HD 19230               ;   55; 30;4847; 43;2004-08-20T10:11:50.373;2018-02-13T01:33:39.880; 9.500; 0.010;1997A&A...323L..49P; 0.784; 0.034;2007A&A...474..653V; 16.878; 0.589;2018A&A...616A...1G;  59.25;0;K0;5254; 44.0; 4.69; 0.05;-0.57; 0.03;2017A&A...606A..94D; 0.816; 0.026; 0.859; 0.040; 0.023; 0.014; 0.2773; 0.2752; 0.0024; 0.0229;-4.6881;-4.6926; 0.0052; 2.051; 2.029; 0.025; 0.233;Simbad;045.98907;-45.43439
HD 192310              ; 1835;432;4717;183;2003-11-01T23:50:09.750;2016-10-01T04:00:05.129; 5.751; 0.010;1997A&A...323L..49P; 0.885; 0.018;2007A&A...474..653V;113.648; 0.119;2018A&A...616A...1G;   8.80;2;K2;5087; 48.0; 4.42; 0.10;-0.01; 0.03;2013A&A...556A.150S; 0.819; 0.024; 0.779; 0.018; 6.288; 4.533; 0.1951; 0.2004; 0.0006; 0.0210;-4.9668;-4.9509; 0.0019; 1.080; 1.120; 0.005; 0.159;Simbad;303.82247;-27.03298
HD 192865              ;   27; 18;4107; 65;2006-07-01T08:10:31.267;2017-09-28T01:42:12.153; 6.896; 0.010;1997A&A...323L..49P; 0.553; 0.001;2007A&A...474..653V; 18.722; 0.041;2018A&A...616A...1G;  53.41;0;F6;6307; 37.0; 4.09; 0.03; 0.13; 0.03;2017A&A...606A..94D; 1.352; 0.009; 1.646; 0.030; 2.499; 0.347; 0.1471; 0.1475; 0.0011; 0.0042;-5.0106;-5.0069; 0.0086; 0.976; 0.984; 0.019; 0.073;Simbad;305.39861;-67.31284
HD 193193              ;   56; 41;5318;179;2003-11-05T00:15:37.506;2018-05-28T05:49:39.872; 7.197; 0.010;1997A&A...323L..49P; 0.593; 0.008;2007A&A...474..653V; 25.020; 0.042;2018A&A...616A...1G;  39.97;0;G0;5979; 13.0; 4.17; 0.02;-0.05; 0.01;2008A&A...487..373S; 1.048; 0.007; 1.203; 0.004; 5.992; 1.108; 0.1667; 0.1658; 0.0006; 0.0052;-4.9234;-4.9285; 0.0037; 1.193; 1.179; 0.010; 0.084;Simbad;304.93827;-25.22860
HD 193690              ;    9;  7;1815; 60;2007-09-26T04:48:10.640;2013-06-19T08:24:14.544; 9.365; 0.010;1997A&A...323L..49P; 0.788; 0.020;2007A&A...474..653V; 14.056; 0.041;2018A&A...616A...1G;  71.14;0;G5;5626; 38.0; 4.31; 0.08; 0.29; 0.03;thiswork           ; 1.044; 0.014; 0.949; 0.015; 0.789; 0.730; 0.2164; 0.2185; 0.0015; 0.0047;-4.8473;-4.8410; 0.0045; 1.421; 1.442; 0.015; 0.047;Simbad;305.63060;-26.15989
HD 193844              ;    5;  3; 446; 78;2005-08-24T06:17:41.308;2006-11-15T00:08:40.337; 9.193; 0.010;1997A&A...323L..49P; 0.871; 0.002;2007A&A...474..653V; 26.690; 0.044;2018A&A...616A...1G;  37.47;0;K2;5007; 40.0; 4.59; 0.08;-0.30; 0.02;2008A&A...487..373S; 0.728; 0.016; 0.694; 0.008; 8.040; 4.676; 0.2840; 0.2866; 0.0014; 0.0085;-4.7444;-4.7395; 0.0026; 1.801; 1.822; 0.011; 0.067;Simbad;305.67448;-10.30187
HD 193901              ;   28; 23;3965; 68;2003-11-02T00:06:43.372;2014-09-10T00:45:39.167; 8.630; 0.010;1997A&A...323L..49P; 0.547; 0.023;2007A&A...474..653V; 20.807; 0.058;2018A&A...616A...1G;  48.06;0;G6;5611; 34.0; 4.33; 0.05;-1.07; 0.03;2017A&A...606A..94D; 0.820; 0.009; 0.899; 0.020; 0.015; 0.001; 0.1712; 0.1706; 0.0013; 0.0022;-4.8480;-4.8513; 0.0071; 1.419; 1.408; 0.023; 0.038;Simbad;305.89936;-21.37062
HD 193995              ;   11;  9;2213; 76;2007-05-30T08:45:00.899;2013-06-20T07:04:25.593; 8.481; 0.010;1997A&A...323L..49P; 0.706; 0.016;2007A&A...474..653V; 11.753; 0.064;2018A&A...616A...1G;  85.08;0;G2;5747; 24.0; 3.93; 0.05; 0.31; 0.02;thiswork           ; 1.195; 0.041; 1.556; 0.035; 5.175; 1.106; 0.1487; 0.1477; 0.0009; 0.0044;-5.1517;-5.1592; 0.0070; 0.705; 0.693; 0.011; 0.053;Simbad;306.12722;-34.71631
HD 19423               ;   12;  4;1015; 63;2004-02-27T00:36:31.448;2015-10-09T07:12:13.512; 7.883; 0.010;1997A&A...323L..49P; 0.646; 0.015;2007A&A...474..653V; 19.508; 0.025;2018A&A...616A...1G;  51.26;0;G2;5752; 21.0; 4.09; 0.03;-0.09; 0.02;2017A&A...606A..94D; 0.950; 0.013; 1.254; 0.016;10.548; 1.868; 0.1590; 0.1582; 0.0013; 0.0076;-5.0188;-5.0241; 0.0083; 0.958; 0.946; 0.018; 0.109;Simbad;046.22880;-57.16627
HD 194330              ;    3;  2; 281; 40;2004-09-25T02:17:07.780;2005-07-23T04:53:37.871; 8.805; 0.010;1997A&A...323L..49P; 0.762; 0.019;2007A&A...474..653V; 18.722; 0.108;2018A&A...616A...1G;  53.41;0;G7;5535; 29.0; 4.30; 0.07; 0.19; 0.02;thiswork           ; 1.001; 0.021; 0.927; 0.020; 2.327; 1.853; 0.2558; 0.2558; 0.0025; 0.0025;-4.7213;-4.7214; 0.0062; 1.900; 1.899; 0.027; 0.027;Simbad;306.97560;-57.64489
HD 194490              ;   27; 21;3089; 70;2007-05-30T09:03:45.579;2015-11-13T01:53:47.103; 8.979; 0.010;1997A&A...323L..49P; 0.633; 0.015;2007A&A...474..653V; 12.435; 0.038;2018A&A...616A...1G;  80.42;0;G0;5928; 47.0; 4.25; 0.07; 0.20; 0.04;thiswork           ; 1.136; 0.026; 1.095; 0.020; 1.437; 1.283; 0.1598; 0.1596; 0.0010; 0.0044;-5.0032;-5.0049; 0.0067; 0.993; 0.989; 0.015; 0.064;Simbad;306.99900;-51.66444
HD 19467               ;   77; 73;5110;189;2003-10-25T04:11:03.940;2017-10-21T03:39:29.033; 6.983; 0.010;1997A&A...323L..49P; 0.650; 0.010;2007A&A...474..653V; 31.225; 0.041;2018A&A...616A...1G;  32.03;0;G3;5720; 10.0; 4.18; 0.01;-0.14; 0.01;2008A&A...487..373S; 0.911; 0.007; 1.202; 0.000;11.882; 2.564; 0.1610; 0.1611; 0.0006; 0.0014;-5.0089;-5.0079; 0.0040; 0.980; 0.982; 0.009; 0.020;Simbad;046.82740;-13.76178
HD 194717              ;    6;  1;   1; 76;2006-07-05T08:24:08.832;2017-09-28T01:50:11.290; 9.071; 0.010;1997A&A...323L..49P; 0.760; 0.020;2007A&A...474..653V; 20.649; 0.029;2018A&A...616A...1G;  48.43;0;K0;5247; 34.0; 4.32; 0.07;-0.28; 0.02;2017A&A...606A..94D; 0.849; 0.012; 0.861; 0.019; 0.030; 0.018; 0.1750; 0.1750; 0.0012; 0.0000;-4.9879;-4.9879; 0.0055; 1.028; 1.028; 0.013; 0.000;Simbad;308.98112;-78.46943
HD 19493               ;    9;  6;2972; 74;2007-09-22T05:50:09.901;2015-11-12T06:29:53.306; 8.116; 0.010;1997A&A...323L..49P; 0.686; 0.015;2007A&A...474..653V; 13.431; 0.025;2018A&A...616A...1G;  74.45;0;G2;5821; 28.0; 3.88; 0.06; 0.31; 0.02;thiswork           ; 1.227; 0.039; 1.574; 0.026; 4.470; 1.016; 0.1557; 0.1550; 0.0010; 0.0028;-5.1012;-5.1056; 0.0072; 0.792; 0.784; 0.013; 0.035;Simbad;045.71273;-72.45725
HD 195034              ;    1;  1;   1;153;2009-05-22T09:51:21.738;2009-05-22T09:51:21.738; 7.054; 0.010;1997A&A...323L..49P; 0.629; 0.009;2007A&A...474..653V; 35.514; 0.057;2018A&A...616A...1G;  28.16;0;G2;5803; 14.0; 4.26; 0.02; 0.02; 0.01;thiswork           ; 1.025; 0.012; 0.982; 0.022; 2.897; 0.829; 0.1937; 0.1937; 0.0007; 0.0000;-4.8224;-4.8224; 0.0030; 1.505; 1.505; 0.010; 0.000;Simbad;307.04923;+22.12899
HD 195145              ;   42; 16;2505; 43;2006-07-01T08:13:27.698;2017-09-28T01:36:50.085; 8.645; 0.010;1997A&A...323L..49P; 0.732; 0.002;2007A&A...474..653V; 17.898; 0.048;2018A&A...616A...1G;  55.87;0;G6;5625; 20.0; 4.32; 0.03; 0.17; 0.02;2017A&A...606A..94D; 1.007; 0.015; 1.001; 0.006; 4.996; 1.290; 0.1741; 0.1740; 0.0017; 0.0125;-4.9815;-4.9820; 0.0081; 1.043; 1.042; 0.020; 0.146;Simbad;308.25145;-62.49637
HD 19518               ;   35; 35;4345;123;2005-11-28T04:07:08.530;2017-10-21T05:18:55.217; 7.789; 0.010;1997A&A...323L..49P; 0.620; 0.015;2007A&A...474..653V; 25.030; 0.053;2018A&A...616A...1G;  39.95;0;G2;5765; 19.0; 4.25; 0.03;-0.07; 0.02;thiswork           ; 0.957; 0.013; 1.001; 0.008; 6.874; 1.237; 0.1798; 0.1789; 0.0008; 0.0038;-4.8785;-4.8833; 0.0041; 1.323; 1.308; 0.012; 0.058;Simbad;047.18461;+15.33483
HD 195200              ;    6;  4;2216; 46;2006-05-08T09:18:37.577;2013-06-28T09:34:12.759; 7.609; 0.010;1997A&A...323L..49P; 0.544; 0.015;2007A&A...474..653V; 19.076; 0.048;2018A&A...616A...1G;  52.42;0;F7;6201; 33.0; 4.13; 0.04;-0.08; 0.02;2017A&A...606A..94D; 1.121; 0.017; 1.210; 0.020; 3.434; 0.819; 0.1524; 0.1522; 0.0013; 0.0019;-4.9596;-4.9612; 0.0094; 1.098; 1.093; 0.024; 0.033;Simbad;307.50676;-04.43765
HD 195302              ;    3;  3;1414; 64;2004-07-17T05:40:54.958;2008-05-31T10:03:40.897; 9.239; 0.010;1997A&A...323L..49P; 0.827; 0.031;2007A&A...474..653V; 23.365; 0.085;2018A&A...616A...1G;  42.80;0;K2;5063; 50.0; 4.57; 0.11; 0.02; 0.03;2008A&A...487..373S; 0.823; 0.024; 0.774; 0.018; 5.280; 4.509; 0.3025; 0.2962; 0.0019; 0.0078;-4.6726;-4.6843; 0.0035; 2.125; 2.068; 0.017; 0.071;Simbad;307.92079;-35.52416
HD 195564              ;   95; 37;4363;259;2003-11-05T00:34:29.460;2015-10-16T01:14:47.709; 5.671; 0.010;1997A&A...323L..49P; 0.693; 0.003;2007A&A...474..653V; 40.382; 0.092;2018A&A...616A...1G;  24.76;0;G4;5676; 16.0; 3.92; 0.02; 0.06; 0.01;2008A&A...487..373S; 1.097; 0.011; 1.734; 0.016; 7.529; 1.683; 0.1458; 0.1458; 0.0006; 0.0012;-5.1753;-5.1754; 0.0046; 0.668; 0.668; 0.007; 0.015;Simbad;308.09873;-09.85339
HD 195633              ;    9;  7;3958; 71;2003-11-01T23:56:52.794;2014-09-03T04:24:17.082; 8.499; 0.010;1997A&A...323L..49P; 0.529; 0.027;2007A&A...474..653V; 10.055; 0.041;2018A&A...616A...1G;  99.45;0;F8;6154; 37.0; 3.96; 0.05;-0.51; 0.03;2017A&A...606A..94D; 0.990; 0.015; 1.579; 0.024; 7.136; 1.676; 0.1525; 0.1528; 0.0010; 0.0026;-4.9404;-4.9382; 0.0072; 1.147; 1.153; 0.019; 0.047;Simbad;308.09997;+06.51757
HD 196050              ;   38; 34;1056;154;2004-07-15T07:48:22.551;2007-06-07T07:03:16.504; 7.485; 0.010;1997A&A...323L..49P; 0.662; 0.010;2007A&A...474..653V; 19.705; 0.039;2018A&A...616A...1G;  50.75;1;G0;5917; 23.0; 4.12; 0.02; 0.23; 0.02;2008A&A...487..373S; 1.198; 0.014; 1.377; 0.014; 4.017; 0.977; 0.1503; 0.1500; 0.0007; 0.0019;-5.0897;-5.0915; 0.0052; 0.813; 0.810; 0.010; 0.026;Simbad;309.46546;-60.63449
HD 196384              ;    8;  4;2199; 44;2005-05-21T09:55:13.022;2012-09-27T02:21:32.017; 7.414; 0.010;1997A&A...323L..49P; 0.463; 0.015;2007A&A...474..653V; 18.373; 0.060;2018A&A...616A...1G;  54.43;0;F4;6611; 69.0; 4.32; 0.06;-0.13; 0.04;2017A&A...606A..94D; 1.241; 0.025; 1.216; 0.024; 0.577; 0.526; 0.1692; 0.1707; 0.0016; 0.0023;-4.7596;-4.7520; 0.0079; 1.739; 1.770; 0.032; 0.047;Simbad;309.43101;-22.44286
HD 196385              ;   57; 18;1890;210;2006-05-20T07:41:00.393;2011-07-23T08:15:25.046; 6.384; 0.010;1997A&A...323L..49P; 0.329; 0.007;2007A&A...474..653V; 20.967; 0.048;2018A&A...616A...1G;  47.69;0;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.2837; 0.2835; 0.0006; 0.0014;       ;       ;       ;      ;      ;      ;      ;Simbad;309.46762;-25.10922
HD 196397              ;    9;  1;   1; 45;2005-05-26T09:21:56.800;2013-06-28T09:17:44.890; 8.940; 0.010;1997A&A...323L..49P; 0.829; 0.003;2007A&A...474..653V; 18.827; 0.061;2018A&A...616A...1G;  53.12;0;G9;5378; 63.0; 4.34; 0.10; 0.29; 0.04;2017A&A...606A..94D; 0.958; 0.033; 0.934; 0.025; 4.640; 3.900; 0.1532; 0.1532; 0.0017; 0.0000;-5.1079;-5.1079; 0.0084; 0.780; 0.780; 0.015; 0.000;Simbad;309.35648;-11.87106
HD 19641               ;   73; 47;4662; 50;2003-11-01T06:02:24.022;2017-11-11T07:39:25.465; 8.240; 0.010;1997A&A...323L..49P; 0.653; 0.015;2007A&A...474..653V; 19.094; 0.034;2018A&A...616A...1G;  52.37;0;G2;5806; 14.0; 4.23; 0.02;-0.01; 0.01;2017A&A...606A..94D; 0.998; 0.009; 1.047; 0.002; 6.122; 1.328; 0.1678; 0.1673; 0.0014; 0.0068;-4.9705;-4.9734; 0.0082; 1.070; 1.063; 0.020; 0.096;Simbad;047.11008;-37.85223
HD 196761              ;   66; 37;4363;200;2003-11-05T00:47:34.709;2015-10-16T01:24:54.842; 6.430; 0.010;1997A&A...323L..49P; 0.744; 0.005;2007A&A...474..653V; 68.135; 0.068;2018A&A...616A...1G;  14.68;0;G8;5415; 16.0; 4.42; 0.03;-0.31; 0.01;2008A&A...487..373S; 0.776; 0.008; 0.794; 0.002;12.229; 2.548; 0.1861; 0.1867; 0.0006; 0.0050;-4.9326;-4.9299; 0.0025; 1.168; 1.175; 0.007; 0.056;Simbad;310.04898;-23.77387
HD 196800              ;   29; 29;4122;172;2006-07-29T05:48:15.910;2017-11-10T00:47:10.601; 7.198; 0.010;1997A&A...323L..49P; 0.603; 0.008;2007A&A...474..653V; 23.980; 0.050;2018A&A...616A...1G;  41.70;0;F9;6010; 19.0; 4.13; 0.03; 0.19; 0.01;2008A&A...487..373S; 1.174; 0.006; 1.254; 0.016; 3.215; 0.270; 0.1561; 0.1558; 0.0006; 0.0015;-5.0009;-5.0028; 0.0044; 0.998; 0.994; 0.010; 0.023;Simbad;310.09306;-24.11803
HD 196892              ;   35; 20;4315; 84;2003-11-02T00:13:21.416;2015-08-26T05:02:49.470; 8.215; 0.010;1997A&A...323L..49P; 0.480; 0.020;2007A&A...474..653V; 15.781; 0.066;2018A&A...616A...1G;  63.37;0;F9;6072; 56.0; 4.24; 0.04;-0.89; 0.03;2017A&A...606A..94D; 0.798; 0.014; 1.184; 0.026;12.362; 3.978; 0.1612; 0.1609; 0.0008; 0.0019;-4.8232;-4.8250; 0.0048; 1.502; 1.496; 0.016; 0.037;Simbad;310.20575;-18.79258
HD 197027              ;   77; 61;3077; 75;2009-05-22T09:33:27.060;2017-10-24T01:27:59.961; 9.155; 0.010;1997A&A...323L..49P; 0.642; 0.030;2007A&A...474..653V; 12.754; 0.038;2018A&A...616A...1G;  78.41;0;G4;5694; 28.0; 4.09; 0.04; 0.07; 0.02;thiswork           ; 0.982; 0.016; 1.085; 0.021; 7.767; 1.799; 0.1611; 0.1614; 0.0011; 0.0030;-5.0018;-5.0001; 0.0067; 0.996; 1.000; 0.015; 0.044;Simbad;310.47764;-27.21595
HD 197083              ;   45; 37;3639; 71;2003-11-02T00:32:36.421;2013-10-19T00:02:43.840; 9.148; 0.010;1997A&A...323L..49P; 0.639; 0.027;2007A&A...474..653V; 14.407; 0.055;2018A&A...616A...1G;  69.41;0;G3;5735; 16.0; 4.37; 0.02;-0.45; 0.01;2017A&A...606A..94D; 0.799; 0.019; 0.955; 0.004;10.908;11.692; 0.1763; 0.1764; 0.0011; 0.0042;-4.9123;-4.9119; 0.0058; 1.224; 1.225; 0.016; 0.061;Simbad;310.61447;-33.32865
HD 197197              ;  123; 77;5313; 87;2003-11-02T00:19:14.891;2018-05-20T08:26:16.713; 8.062; 0.010;1997A&A...323L..49P; 0.592; 0.011;2007A&A...474..653V; 13.757; 0.070;2018A&A...616A...1G;  72.69;0;G2;5812; 16.0; 4.04; 0.02;-0.46; 0.01;2017A&A...606A..94D; 0.929; 0.008; 1.590; 0.018;10.001; 0.018; 0.1512; 0.1517; 0.0008; 0.0026;-5.0244;-5.0203; 0.0061; 0.945; 0.954; 0.013; 0.042;Simbad;310.65490;-13.09481
HD 197210              ;   19; 18;2831;139;2005-08-24T06:53:17.626;2013-05-25T08:52:36.210; 7.500; 0.010;1997A&A...323L..49P; 0.672; 0.010;2007A&A...474..653V; 33.504; 0.038;2018A&A...616A...1G;  29.85;0;G6;5577; 20.0; 4.35; 0.04;-0.03; 0.01;2008A&A...487..373S; 0.919; 0.014; 0.930; 0.021; 7.320; 1.709; 0.1891; 0.1885; 0.0008; 0.0061;-4.8766;-4.8794; 0.0034; 1.329; 1.320; 0.010; 0.082;Simbad;310.62254;-05.30124
HD 197300              ;    7;  6;4135; 39;2006-06-03T09:12:51.035;2017-09-28T02:32:06.500; 8.657; 0.010;1997A&A...323L..49P; 0.597; 0.019;2007A&A...474..653V; 16.841; 0.044;2018A&A...616A...1G;  59.38;0;F9;6022; 42.0; 4.45; 0.04; 0.02; 0.03;2017A&A...606A..94D; 1.062; 0.012; 0.955; 0.000; 0.252; 0.206; 0.3383; 0.3341; 0.0027; 0.0207;-4.4067;-4.4141; 0.0048; 3.920; 3.854; 0.043; 0.331;Simbad;310.89221;-24.69172
HD 197536              ;   28; 15;3963; 86;2003-11-02T00:27:02.186;2015-09-13T05:58:11.540; 8.191; 0.010;1997A&A...323L..49P; 0.538; 0.014;2007A&A...474..653V; 14.054; 0.044;2018A&A...616A...1G;  71.15;0;F8;6105; 24.0; 4.12; 0.03;-0.41; 0.02;2017A&A...606A..94D; 0.956; 0.012; 1.319; 0.007; 8.060; 1.772; 0.1544; 0.1547; 0.0007; 0.0024;-4.9391;-4.9369; 0.0050; 1.151; 1.156; 0.013; 0.042;Simbad;311.15443;-10.49477
HD 197557              ;    4;  1;   1; 44;2004-05-25T09:11:56.503;2004-09-20T02:18:17.037;10.000; 0.030;2000A&A...355L..27H; 0.556; 0.050;2000A&A...355L..27H;  3.944; 0.051;2018A&A...616A...1G; 253.55;0;F7;6255; 48.0; 3.83; 0.05; 0.35; 0.04;thiswork           ; 1.475; 0.012; 1.883; 0.048; 2.082; 0.502; 0.1458; 0.1458; 0.0016; 0.0000;-5.0239;-5.0239; 0.0124; 0.947; 0.947; 0.027; 0.000;Simbad;311.42114;-37.60931
HD 197623              ;    6;  4;   9;160;2005-05-11T09:02:46.824;2005-05-20T08:59:01.225; 7.549; 0.010;1997A&A...323L..49P; 0.656; 0.007;2007A&A...474..653V; 18.288; 0.047;2018A&A...616A...1G;  54.68;0;G0;5975;113.0; 4.54; 0.29; 0.22; 0.08;thiswork           ; 1.205; 0.045; 1.407; 0.066; 3.650; 1.738; 0.1546; 0.1547; 0.0007; 0.0015;-5.0548;-5.0540; 0.0052; 0.881; 0.883; 0.010; 0.021;Simbad;311.23797;+00.29194
